FID,id,vejid,vejkode,vejnavn,vejstatus,ret_dato,opret_dato,wkb_geometry
vejflade.24,4336,101001402A000,0014,Abildvang,Privat fællesvej,2012-02-06T13:14:59,2012-02-06T13:11:11,"MULTIPOLYGON (((717570.0801629929 6179794.6882824, 717572.208 6179793.465, 717577.759 6179803.052, 717578.777 6179802.463, 717585.056 6179813.301, 717587.477 6179818.842, 717599.944 6179840.369, 717615.709 6179831.223, 717615.33 6179830.571, 717619.885 6179827.928, 717618.388975938 6179825.34945348, 717613.634527723 6179817.15468828, 717603.738 6179809.426, 717599.641956904 6179805.67504462, 717590.584 6179790.077, 717587.4360726661 6179784.64330379, 717593.653208896 6179781.04504811, 717598.225469574 6179790.03308184, 717596.209 6179791.206, 717603.296 6179803.389, 717606.521 6179801.513, 717611.816 6179810.615, 717614.651 6179808.966, 717617.304 6179813.527, 717618.561 6179812.795, 717621.204 6179817.339, 717622.555 6179816.554, 717625.866945378 6179822.24723325, 717626.434 6179823.22200001, 717640.133 6179815.252, 717640.998945716 6179816.74590635, 717632.156 6179821.869, 717633.147 6179823.58, 717628.878 6179826.053, 717629.613 6179827.323, 717597.967 6179846.83, 717598.823059028 6179848.30779674, 717597.211 6179849.097, 717595.089555839 6179846.03111899, 717597.717 6179844.509, 717574.727 6179804.809, 717575.622 6179804.29, 717570.0801629929 6179794.6882824)))"
vejflade.25,4039,101001404B000,0014,Abildvang,Privat fællesvej,2012-02-06T13:47:38,2012-02-06T13:44:37,"MULTIPOLYGON (((717669.189 6179885.903, 717663.003 6179875.217, 717662.556 6179875.476, 717658.186 6179869.935, 717656.734 6179870.86, 717656.589 6179870.633, 717656.362591716 6179870.45312864, 717655.11 6179869.458, 717637.694 6179852.463, 717644.226 6179849.849, 717647.595 6179854.731, 717650.154 6179852.964, 717659.136 6179865.977, 717660.217 6179865.23, 717665.998 6179873.606, 717666.511 6179873.252, 717671.15 6179879.973, 717674.275796254 6179877.81536517, 717675.6900000001 6179880.24, 717670.249 6179883.404, 717671.069086762 6179884.8199903, 717670.592638423 6179885.09589278, 717669.189 6179885.903)))"
vejflade.26,4040,101001404A000,0014,Abildvang,Privat fællesvej,2012-02-06T13:47:38,2012-02-06T13:44:37,"MULTIPOLYGON (((717610.661 6179872.909, 717614.5179471091 6179870.79606587, 717615.323 6179872.191, 717616.602 6179871.453, 717618.909 6179875.454, 717618.293 6179875.81, 717621.084 6179880.645, 717621.348 6179880.492, 717624.138 6179885.328, 717625.031 6179886.876, 717655.11 6179869.458, 717656.362591716 6179870.45312864, 717626.8200000001 6179887.552, 717635.104201666 6179901.86448986, 717636.746 6179904.701, 717646.133 6179899.267, 717645.691 6179898.503, 717650.529 6179895.703, 717650.001 6179894.79, 717663.105 6179887.205, 717664.067 6179888.867, 717669.189 6179885.903, 717670.592638423 6179885.09589278, 717671.069086762 6179884.8199903, 717672.973 6179888.108, 717660.844 6179895.245, 717660.088 6179893.94, 717654.347 6179897.263, 717654.91 6179898.236, 717650.362 6179900.869, 717650.557 6179901.207, 717633.969 6179910.814, 717631.473 6179906.499, 717629.89537094 6179907.41122592, 717628.838 6179905.706, 717620.927 6179892.033, 717622.399 6179891.182, 717619.439 6179886.067, 717618.566 6179886.571, 717610.661 6179872.909)))"
vejflade.27,4332,1010014060000,0014,Abildvang,Privat fællesvej,2012-02-06T13:49:01,2012-02-06T13:44:37,"MULTIPOLYGON (((717660.072 6179942.853, 717652.2397338339 6179947.37836871, 717641.724 6179953.454, 717635.5027477618 6179958.009246397, 717634.023 6179951.03, 717634.023 6179951.03, 717655.019 6179939.087, 717652.753 6179935.174, 717657.308 6179932.537, 717655.079 6179928.687, 717659.636 6179926.048, 717657.358 6179922.112, 717661.902 6179919.482, 717659.655 6179915.599, 717664.22 6179912.957, 717663.56 6179911.816, 717668.084 6179909.199, 717669.04 6179910.85, 717658.646 6179940.403, 717660.072 6179942.853)))"
vejflade.28,2336,1010016000000,0016,Abrikosvej,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((721165.336351428 6177866.01362478, 721167.375376625 6177858.33728253, 721167.6903960931 6177857.58321858, 721167.9417594171 6177857.01296715, 721168.124545694 6177856.62242944, 721168.2853636211 6177856.28047624, 721168.368762681 6177856.11005894, 721168.525046978 6177855.79502645, 721168.760176937 6177855.33749738, 721169.35199378 6177854.2447731, 721169.869324415 6177853.37766334, 721170.469176417 6177852.43515527, 721172.082329138 6177850.18116727, 721172.827063433 6177849.29804461, 721173.5717977291 6177848.41492194, 721174.910191386 6177847.00382736, 721176.841210458 6177845.21829914, 721179.3111431721 6177843.34638617, 721193.344232087 6177835.11151344, 721198.4483005981 6177832.06919982, 721203.54121114 6177829.03466857, 721216.918002093 6177821.0901383, 721244.448 6177804.768, 721249.786 6177813.324, 721214.672666247 6177834.20015572, 721203.620444603 6177840.76672293, 721187.400808591 6177850.40392844, 721185.66830748 6177851.50911893, 721184.814928369 6177852.06847109, 721183.268125249 6177853.34439606, 721181.617353726 6177854.92038149, 721180.423749631 6177856.29432274, 721179.057967584 6177858.18005768, 721177.7871805821 6177860.2197285, 721176.97358076 6177862.05635515, 721176.150394839 6177864.37797789, 721175.8688939629 6177865.51134924, 721175.5873930809 6177866.64472058, 721175.5652981111 6177866.7503244, 721172.464780997 6177886.05044337, 721162.5789096871 6177884.58654827, 721165.336351428 6177866.01362478)))"
vejflade.29,577,1010020000000,0020,Absalonsgade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((723573.615 6175023.226, 723580.423 6175006.279, 723586.978 6174989.963, 723593.533 6174973.647, 723600.338 6174956.709, 723607.146 6174939.762, 723613.447 6174924.077, 723620.897624757 6174905.72995899, 723621.39 6174904.307, 723632.547164768 6174914.74753401, 723630.0667462341 6174915.47884278, 723621.9032851 6174936.05272846, 723615.692 6174951.405, 723609.140409236 6174967.59610002, 723602.6469484731 6174983.64518141, 723596.156 6174999.687, 723589.540196534 6175016.03609022, 723582.9247472851 6175032.38587813, 723576.2998427621 6175048.75848736, 723575.829 6175050.015, 723565.392 6175043.696, 723573.615 6175023.226)))"
vejflade.30,578,1010020000000,0020,Absalonsgade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((723463.4403104321 6175303.84492149, 723465.888695622 6175288.37820606, 723479.4437810241 6175254.86674373, 723479.467946635 6175254.80819798, 723483.045992859 6175245.96438674, 723488.178573585 6175233.27576517, 723495.71651165 6175214.64131011, 723500.99405956 6175201.90653177, 723509.040576771 6175182.13867301, 723515.755152774 6175165.78485044, 723521.354693707 6175151.8919739, 723527.056782673 6175137.87207187, 723533.1913554041 6175122.57020629, 723540.656989938 6175103.9493216, 723549.383169175 6175082.18609403, 723557.173941346 6175062.75430884, 723557.814 6175061.171, 723568.595 6175067.592, 723567.880798441 6175069.35632609, 723561.4651450079 6175085.21386305, 723555.0789921521 6175100.99595207, 723548.819209081 6175117.06564853, 723543.540505645 6175130.61872976, 723538.0440206251 6175144.00444415, 723532.649587215 6175157.44019277, 723525.806165677 6175174.34068696, 723518.746280018 6175191.71609195, 723512.044825574 6175208.16521051, 723503.908764953 6175228.00933031, 723493.15960723 6175254.1363112, 723487.014049767 6175269.28489366, 723478.0770197131 6175291.79523765, 723475.62542572 6175306.41155695, 723472.527594535 6175324.87562324, 723469.470444064 6175343.10339975, 723471.3124526511 6175344.86146512, 723456.4006844261 6175345.81836359, 723463.4403104321 6175303.84492149)))"
vejflade.31,580,1010024000000,0024,Adelgade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((725260.239998183 6176720.06594707, 725245.284549855 6176684.44727768, 725225.929494648 6176638.34051246, 725198.857823016 6176573.72993161, 725191.630455332 6176556.6413392, 725188.9600898849 6176555.44111177, 725190.8140174871 6176554.67242521, 725186.92148454 6176545.55789348, 725200.166079517 6176540.17736291, 725200.9877744489 6176542.13337561, 725206.052230436 6176554.06018094, 725210.278307145 6176564.01463781, 725215.489736422 6176575.99636922, 725228.9562630261 6176608.08820576, 725229.432536658 6176607.88153107, 725244.597097619 6176644.00552572, 725244.101665622 6176644.21982496, 725250.906740608 6176660.20063924, 725255.9552947661 6176672.22317392, 725258.22515191 6176677.49111848, 725258.603238904 6176677.3425276, 725272.6065585 6176710.77151459, 725279.174365596 6176726.40650755, 725298.800128487 6176773.08986906, 725301.531372159 6176774.19626459, 725292.6732682531 6176777.86875152, 725283.851904535 6176781.70703025, 725284.961532268 6176778.86281192, 725265.3280404541 6176732.21631473, 725260.239998183 6176720.06594707)))"
vejflade.32,582,1010024000000,0024,Adelgade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((725374.280904461 6176991.71546238, 725355.858973797 6176948.00303762, 725357.758612221 6176947.35130342, 725351.851158489 6176932.87680843, 725351.236453295 6176931.28002587, 725364.9361781931 6176925.59938395, 725363.884268292 6176928.35770838, 725388.092190914 6176986.11005743, 725390.9803732489 6176987.12151816, 725382.37179891 6176990.51881769, 725375.002689422 6176993.54856607, 725374.280904461 6176991.71546238)))"
vejflade.415,1925,1010702400000,0702,Bopa Plads,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((724974.691369954 6179099.51084884, 724974.8319806709 6179098.87476491, 724985.1052283429 6179053.82802452, 724995.046561435 6179077.94713483, 725001.911461188 6179094.60237736, 725007.1700010521 6179107.36036, 724992.365884796 6179103.78246659, 724974.691369954 6179099.51084884)))"
vejflade.33,579,1010024000000,0024,Adelgade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((725317.031504085 6176855.40395351, 725316.2084472731 6176853.26383811, 725311.942526053 6176843.25056069, 725292.435919311 6176796.66358283, 725289.625445603 6176795.51660573, 725298.607717495 6176792.04065098, 725307.353060803 6176787.94876919, 725306.1924124911 6176790.7929799, 725325.7101402429 6176837.37417736, 725332.606684955 6176853.68694283, 725333.375807854 6176855.51886959, 725353.756953964 6176904.12094355, 725356.494652297 6176905.20445923, 725338.674328638 6176912.6033895, 725339.8538326 6176909.81757485, 725339.339480835 6176908.60993064, 725317.031504085 6176855.40395351)))"
vejflade.34,583,1010024000000,0024,Adelgade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((725395.954979234 6177044.19365169, 725388.633320344 6177026.61297, 725380.605824339 6177007.64278917, 725379.56864314 6177005.1503015, 725394.472085309 6176999.15431619, 725395.390213478 6177001.34333055, 725405.3279286551 6177025.45430814, 725410.637816235 6177038.426402, 725418.756747239 6177057.8825874, 725419.526560576 6177059.67951515, 725404.940399828 6177065.7688026, 725404.040699324 6177063.60916369, 725395.954979234 6177044.19365169)))"
vejflade.35,581,1010024000000,0024,Adelgade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((725419.98 6177102.161, 725412.787 6177084.512, 725410.105 6177078.049, 725424.6936718081 6177072.08056139, 725434.57807009 6177096.15547908, 725419.98 6177102.161)))"
